ID,Age,Education_level,Income,Marital_Status,Total_Spend,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Campaigns_Accepted
5524,67,high,58138.0,Single,1617,8,10,4,0
2174,70,high,46344.0,Single,27,1,1,2,0
4141,59,high,71613.0,Together,776,8,2,10,0
6182,40,high,26646.0,Together,53,2,0,4,0
5324,43,Low,58293.0,Married,422,5,3,6,0
7446,57,high,62513.0,Together,716,6,4,10,0
965,53,high,55635.0,Divorced,590,7,3,7,0
6177,39,Low,33454.0,Married,169,4,0,4,0
4855,50,Low,30351.0,Together,46,3,0,2,0
5899,74,Low,5648.0,Together,49,1,0,0,1
1994,41,high,51381.5,Married,19,1,0,2,0
387,48,Middle,7500.0,Married,61,2,0,3,0
2125,65,high,63033.0,Divorced,1102,3,4,8,0
8180,72,high,59354.0,Divorced,310,6,1,5,0
2569,37,high,17323.0,Married,46,1,0,3,0
2114,78,Low,82800.0,Single,1315,7,6,12,2
9736,44,high,41850.0,Married,96,3,0,3,0
4939,78,high,37760.0,Together,317,4,1,6,0
6565,75,high,76995.0,Married,1782,11,4,9,1
2278,39,Low,33812.0,Single,133,2,1,3,0
9360,42,high,37040.0,Married,316,4,2,5,0
5376,45,high,2447.0,Married,1730,0,28,0,0
1993,75,Low,58607.0,Married,972,2,3,9,1
4047,70,Low,65324.0,Married,544,6,2,9,0
1409,73,high,40689.0,Together,444,7,1,5,0
7892,55,high,18589.0,Single,75,2,1,3,0
2404,48,high,53359.0,Married,257,5,1,4,0
5255,38,high,51381.5,Single,637,27,0,0,0
9422,35,high,38360.0,Married,131,2,1,4,0
1966,59,Low,84618.0,Married,1672,6,9,10,1
6864,35,high,10979.0,Divorced,30,3,0,3,0
3033,61,high,38620.0,Together,318,2,5,3,0
5710,54,high,40548.0,Together,120,2,1,4,1
7373,72,Low,46610.0,Divorced,302,4,1,6,0
8755,78,high,68657.0,Married,1196,3,5,9,0
10738,73,high,49389.0,Single,65,2,0,3,0
4339,54,Low,67353.0,Married,913,5,6,12,0
10755,48,Low,23718.0,Married,81,3,1,2,0
8595,51,high,42429.0,Widow,67,1,1,3,0
2968,81,Low,48948.0,Divorced,902,7,10,5,1
8601,44,high,80011.0,Married,1395,8,6,5,0
503,39,high,20559.0,Married,53,2,0,3,0
8430,67,high,21994.0,Together,22,0,0,3,0
7281,65,Low,51381.5,Single,186,1,3,4,0
2139,49,high,7500.0,Married,31,2,0,3,0
1371,48,high,79941.0,Single,984,2,4,9,0
9909,28,Low,7500.0,Married,122,3,1,3,0
7286,56,high,41728.0,Together,55,2,0,2,0
7244,73,high,51381.5,Single,124,2,1,4,0
6566,70,Low,72550.0,Married,1319,5,2,12,0
8614,67,high,65486.0,Widow,507,4,2,10,0
4114,60,high,79143.0,Married,1693,6,9,13,0
1331,47,high,35790.0,Single,72,2,0,3,0
2225,47,high,82582.0,Divorced,1617,4,9,7,2
9381,46,high,66373.0,Married,606,4,2,10,0
6260,69,high,82384.0,Together,1957,3,10,13,1
10383,58,high,70287.0,Divorced,1093,5,5,10,0
7437,36,high,27938.0,Single,29,1,0,4,0
8557,42,high,51381.5,Single,46,2,0,3,0
8375,56,Low,55954.0,Married,518,8,2,6,0
6853,42,high,75777.0,Single,1438,3,6,11,2
3076,49,high,66653.0,Together,612,4,2,12,0
1012,72,high,61823.0,Single,884,8,2,10,0
6518,73,Low,67680.0,Widow,606,7,3,8,0
4137,76,high,70666.0,Together,1076,7,4,4,0
8082,53,high,25721.0,Married,34,1,1,2,0
1386,57,high,32474.0,Together,11,1,0,2,0
9369,45,Low,88194.0,Single,1274,11,10,10,2
4477,66,high,69096.0,Together,653,5,2,10,0
1357,54,high,74854.0,Together,1562,2,5,5,0
1402,70,high,66991.0,Married,1253,4,8,6,0
10629,51,Low,51381.5,Married,109,3,0,3,0
6312,65,high,65031.0,Married,863,10,3,13,0
8132,49,Low,60631.0,Married,661,9,2,8,1
1050,72,high,28332.0,Married,65,2,1,4,0
5846,47,high,40246.0,Divorced,13,1,0,2,0
1859,52,high,75251.0,Married,1890,7,6,5,0
7503,48,high,75825.0,Single,2209,5,8,9,1
10401,48,Low,26326.0,Together,18,0,0,3,0
1618,59,high,56046.0,Together,692,10,1,8,1
3332,39,high,29760.0,Single,165,3,1,4,0
2261,55,high,26304.0,Married,16,1,0,2,0
5346,51,Low,23559.0,Married,79,3,0,3,0
4119,61,high,38620.0,Together,318,2,5,3,0
535,37,high,81361.0,Divorced,778,3,10,13,0
5268,64,high,29440.0,Married,56,1,0,4,0
273,54,high,36138.0,Married,151,3,1,4,1
4452,67,high,50388.0,Single,372,6,1,6,2
8504,51,high,79593.0,Married,1366,5,6,7,1
771,57,high,54178.0,Together,194,2,2,5,0
8996,67,Low,51381.5,Married,603,7,2,8,0
9235,67,high,51381.5,Single,18,1,0,2,0
5798,51,high,51381.5,Together,985,2,4,8,0
11178,52,high,42394.0,Single,32,1,0,3,0
2230,54,Low,23626.0,Married,43,3,1,3,0
7516,41,high,30096.0,Married,45,2,0,3,0
7247,64,high,47916.0,Widow,606,7,4,6,1
11100,52,high,51813.0,Divorced,63,2,0,3,0
4646,73,Low,78497.0,Married,978,5,7,12,1
3037,41,Low,50150.0,Married,410,5,2,7,0
1473,64,Low,47823.0,Single,72,2,0,3,0
1016,65,Low,34554.0,Single,55,2,0,3,0
4518,45,high,85693.0,Together,1169,9,5,11,0
9370,79,Low,65846.0,Married,1120,6,3,6,0
8908,65,high,87195.0,Married,1097,3,11,5,0
8373,45,Middle,24594.0,Together,29,1,0,3,0
7533,60,high,49096.0,Married,187,4,1,4,0
2683,55,high,52413.0,Married,910,6,4,12,0
3629,46,high,38557.0,Single,145,3,1,3,0
10991,64,high,89058.0,Married,850,5,4,4,0
5077,45,high,77298.0,Together,969,6,6,11,0
7431,33,Low,68126.0,Single,1820,7,4,5,1
3267,61,high,57288.0,Together,608,8,1,8,1
999,33,high,86037.0,Single,730,6,7,11,2
